ResponseTime,Availability,Throughput,Successability,Reliability,Compliance,BestPractices,Latency,ServiceName
302.75,89,7.1,90,73,78,80,187.75,MAPPMatching
482,85,16,95,73,100,84,1,Compound2
3321.4,89,1.4,96,73,78,80,2.6,USDAData
126.17,98,12,100,67,78,82,22.77,GBNIRHolidayDates
107,87,1.9,95,73,89,62,58.33,CasUsers
107.57,80,1.7,81,67,78,82,18.21,interop2
255,98,1.3,99,67,100,82,40.8,ehmmpfamService
136.71,76,2.8,76,60,89,69,11.57,WSDBFetchServerLegacyService
102.62,91,15.3,97,67,78,82,0.93,DOTSPackageTracking
93.37,96,13.5,99,67,89,58,41.66,CommandService
133,86,7.7,95,73,78,84,10.67,GoogleSearchService
221.48,90,10.9,97,53,89,66,37.26,AnalysisWSAppLabImplService
114,86,16.1,86,73,89,84,67,FpMLValidation
269.83,85,4.5,86,53,89,66,74.96,AnalysisWSAppLabImplService
134.07,84,12.2,85,60,89,69,8.21,DiscoveryService
67.5,86,6,86,73,78,80,1.5,check
131.57,80,2.3,80,53,67,76,6.5,Interop
213.2,88,1.6,96,73,100,84,7.8,antigenicService
1360,83,10.4,84,83,89,91,3,UpdatesService
108,86,0.7,95,73,78,80,0.33,DOTSFraudProtectionLite
50,72,13.3,72,73,78,84,4,XarayaSoap
1069.5,71,3,72,83,89,91,744,Mapping
132,83,14.3,84,73,78,84,16,BlogReaderService
265.09,94,10.2,94,73,89,62,48.18,SkyNodeWS
124.17,94,2.1,98,73,100,80,30.84,XFormWebService
408.21,56,5,58,73,78,80,121.46,Settings
259,97,1.2,99,58,100,75,7.2,freakService
408,83,15.2,84,83,89,91,3,VersionService
173,46,3.8,47,78,89,89,4.83,Personne
320.48,86,1.2,86,53,89,66,125.18,AnalysisWSAppLabImplService
128.31,91,12.4,97,67,78,82,20.8,GBEAWHolidayDates
149.67,89,1.1,96,73,78,80,13,Tax
672.2,91,7.9,97,73,100,84,9.2,infoalignService
59.58,77,8.8,78,67,100,77,3.95,AWSECommerceService
499,83,19.7,84,83,89,91,31,ippcService
1334,100,8.3,100,73,100,80,89,GetEntertainmentListingsService
229.75,86,10.1,95,73,89,84,87.75,CEqImageSecure
266.83,36,0.9,37,60,89,69,15.91,BINDService
49.43,42,10.6,43,73,78,62,6,cweather
64.96,18,4.3,18,60,78,79,5.15,AmazonSearchService
106.75,90,16.2,96,73,78,80,24.13,ArticlesSecure
580.5,72,4.4,72,67,89,72,19,ndfdXML
205,73,1.4,74,58,78,80,12,Izracun
294.5,87,14.5,95,73,89,62,66,IT_x0040_Service_x0020_Webservices
113.25,88,1.7,96,53,78,66,43.25,MorphingLabs
68.91,19,4.4,20,60,78,79,5.91,AmazonSearchService
184.67,73,2.7,74,73,89,80,40.84,CSearch
131.25,70,4.8,70,73,89,84,3.63,MathService
142.5,93,4.4,98,73,78,84,26.75,ClientService
141.77,56,7.5,56,67,78,77,88.31,AddressLookup
269.09,85,3.9,85,53,89,66,84.92,AnalysisWSAppLabImplService
227,88,21.2,96,73,100,84,23,SendWM2Mail
511.25,77,4.7,78,73,89,84,269.25,Conversor
173,67,0.5,68,73,100,80,1.67,MESAClaimsService
645,86,8,86,73,89,80,86.5,PluralsightWeather
300.12,90,7.9,97,67,78,82,14.88,erez3
1035,71,8.4,72,73,78,88,6,PathFinderService
515.2,86,9.2,95,73,100,84,8.8,showalignService
430.5,40,3.3,40,73,67,84,13.25,NewsServices
205.33,90,3.5,97,60,100,74,48.33,CurrencyRates
262.5,92,6.9,97,60,100,74,83.5,DNS
451,23,1.8,24,42,78,74,334.1,NamebankServiceService
207,86,13.5,86,73,89,84,78.5,XmlHttpCheck
115,72,12.9,72,83,89,91,4.5,ValidateService
184,100,12.1,100,80,78,87,1,elewebdir
119.33,86,1.2,95,73,78,84,1.66,WebSitePulseService
166.67,75,1.2,75,67,78,77,7.84,MoneyCentralRemote
241.5,78,7.7,79,67,89,72,71.5,AMIWebServiceService
301.8,98,1.2,100,73,100,84,8.2,cuspService
300.6,100,1.4,100,67,100,82,42.6,vrnaduplexService
227.6,86,14.5,95,73,100,84,10.6,distmatService
617.67,88,7.1,96,73,100,84,13.67,ViewCountService
151.33,97,6.9,99,73,78,84,8.66,GoogleSearchService
115,83,22.3,84,83,89,91,4,EmptySA
42.5,72,13.1,72,73,78,84,3.5,XarayaSoap
179,85,1.1,95,60,100,74,47,BusinessOrGovernmentalLookup
